Munic�pio1,C�digo Munic�pio IBGE,Popula��o estimada (2020),UF1,Data,M�dia de �ndice De Isolamento
PIRACICABA,3538709,407252,SP,"s�bado, 10/10",36%
PIRACICABA,3538709,407252,SP,"sexta-feira, 09/10",34%
PIRACICABA,3538709,407252,SP,"quinta-feira, 08/10",35%
PIRACICABA,3538709,407252,SP,"quarta-feira, 07/10",34%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 06/10",35%
PIRACICABA,3538709,407252,SP,"segunda-feira, 05/10",34%
PIRACICABA,3538709,407252,SP,"domingo, 04/10",41%
PIRACICABA,3538709,407252,SP,"s�bado, 03/10",36%
PIRACICABA,3538709,407252,SP,"sexta-feira, 02/10",35%
PIRACICABA,3538709,407252,SP,"quinta-feira, 01/10",35%
PIRACICABA,3538709,407252,SP,"quarta-feira, 30/09",34%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 29/09",36%
PIRACICABA,3538709,407252,SP,"segunda-feira, 28/09",35%
PIRACICABA,3538709,407252,SP,"domingo, 27/09",41%
PIRACICABA,3538709,407252,SP,"s�bado, 26/09",37%
PIRACICABA,3538709,407252,SP,"sexta-feira, 25/09",35%
PIRACICABA,3538709,407252,SP,"quinta-feira, 24/09",35%
PIRACICABA,3538709,407252,SP,"quarta-feira, 23/09",36%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 22/09",37%
PIRACICABA,3538709,407252,SP,"segunda-feira, 21/09",36%
PIRACICABA,3538709,407252,SP,"domingo, 20/09",43%
PIRACICABA,3538709,407252,SP,"s�bado, 19/09",36%
PIRACICABA,3538709,407252,SP,"sexta-feira, 18/09",34%
PIRACICABA,3538709,407252,SP,"quinta-feira, 17/09",35%
PIRACICABA,3538709,407252,SP,"quarta-feira, 16/09",35%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 15/09",36%
PIRACICABA,3538709,407252,SP,"segunda-feira, 14/09",35%
PIRACICABA,3538709,407252,SP,"domingo, 13/09",42%
PIRACICABA,3538709,407252,SP,"s�bado, 12/09",37%
PIRACICABA,3538709,407252,SP,"sexta-feira, 11/09",34%
PIRACICABA,3538709,407252,SP,"quinta-feira, 10/09",35%
PIRACICABA,3538709,407252,SP,"quarta-feira, 09/09",37%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 08/09",36%
PIRACICABA,3538709,407252,SP,"segunda-feira, 07/09",43%
PIRACICABA,3538709,407252,SP,"domingo, 06/09",41%
PIRACICABA,3538709,407252,SP,"s�bado, 05/09",36%
PIRACICABA,3538709,407252,SP,"sexta-feira, 04/09",35%
PIRACICABA,3538709,407252,SP,"quinta-feira, 03/09",35%
PIRACICABA,3538709,407252,SP,"quarta-feira, 02/09",36%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 01/09",36%
PIRACICABA,3538709,407252,SP,"segunda-feira, 31/08",36%
PIRACICABA,3538709,407252,SP,"domingo, 30/08",43%
PIRACICABA,3538709,407252,SP,"s�bado, 29/08",36%
PIRACICABA,3538709,407252,SP,"sexta-feira, 28/08",35%
PIRACICABA,3538709,407252,SP,"quinta-feira, 27/08",35%
PIRACICABA,3538709,407252,SP,"quarta-feira, 26/08",36%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 25/08",37%
PIRACICABA,3538709,407252,SP,"segunda-feira, 24/08",37%
PIRACICABA,3538709,407252,SP,"domingo, 23/08",45%
PIRACICABA,3538709,407252,SP,"s�bado, 22/08",39%
PIRACICABA,3538709,407252,SP,"sexta-feira, 21/08",36%
PIRACICABA,3538709,407252,SP,"quinta-feira, 20/08",37%
PIRACICABA,3538709,407252,SP,"quarta-feira, 19/08",37%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 18/08",39%
PIRACICABA,3538709,407252,SP,"segunda-feira, 17/08",37%
PIRACICABA,3538709,407252,SP,"domingo, 16/08",46%
PIRACICABA,3538709,407252,SP,"s�bado, 15/08",39%
PIRACICABA,3538709,407252,SP,"sexta-feira, 14/08",37%
PIRACICABA,3538709,407252,SP,"quinta-feira, 13/08",37%
PIRACICABA,3538709,407252,SP,"quarta-feira, 12/08",37%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 11/08",37%
PIRACICABA,3538709,407252,SP,"segunda-feira, 10/08",37%
PIRACICABA,3538709,407252,SP,"domingo, 09/08",43%
PIRACICABA,3538709,407252,SP,"s�bado, 08/08",38%
PIRACICABA,3538709,407252,SP,"sexta-feira, 07/08",36%
PIRACICABA,3538709,407252,SP,"quinta-feira, 06/08",37%
PIRACICABA,3538709,407252,SP,"quarta-feira, 05/08",37%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 04/08",38%
PIRACICABA,3538709,407252,SP,"segunda-feira, 03/08",38%
