,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
dezembro 2017,Cultura,9.227924669130527,8.714535708736502,-0.3217807446565295,6.633587478658016,0.38,1838095.74,1.1301699956719051,5.7547943135712964,0.35,2614331.28,6.0,2017.0,2017-12-20,88.32971976100887
fevereiro 2018,Cultura,8.100504480348727,8.213027115163962,2.0501758640406957,2.0501758640406957,0.26,5476988.04,0.39996644265367653,0.39996644265367653,0.18,6943545.79,1.0,2018.0,2018-02-20,88.87100818799969
abril 2018,Cultura,8.075408955458519,8.306487472589293,1.4562105656025115,3.5000349438128917,0.35,4284817.27,1.0284574432333045,1.4271847818483112,0.29,6132704.9,2.0,2018.0,2018-04-20,89.14718795924118
junho 2018,Cultura,7.9417641674092625,8.301399549903417,0.3856898958751169,3.827800661381883,0.32,4055199.54,0.8403422922989715,2.2439077368816056,0.29,5490956.75,3.0,2018.0,2018-06-20,90.64736560099134
agosto 2018,Cultura,7.922680346367902,8.281451535826985,0.6377537023539391,4.456356273580541,0.33,3475700.09,0.8172284616287874,3.0557441555358986,0.29,4748376.28,4.0,2018.0,2018-08-20,90.86571318380062
outubro 2018,Cultura,7.849170549042163,8.204612915896968,0.7999955197789019,5.215003937310653,0.34,2741970.62,0.8914822636203757,3.91887400258355,0.3,3930738.19,5.0,2018.0,2018-10-20,91.71669738885336
dezembro 2018,Cultura,7.853855326484359,8.209509839115821,0.1820920884949164,5.400208600905555,0.31,2575061.39,0.803179538855655,4.724392521387648,0.28,3194527.85,6.0,2018.0,2018-12-20,91.66198893076003
fevereiro 2019,Cultura,8.19786016495474,8.257414029579296,3.0047035292050612,3.0047035292050612,0.38,4851055.08,0.4238704302108248,0.4238704302108248,0.18,7234541.38,1.0,2019.0,2019-02-20,92.35336841149692
abril 2019,Cultura,8.08999886929939,8.148769168838614,0.7578081991699508,3.7229780928653784,0.36,4141862.66,0.9314464489602686,1.3497399099532024,0.26,6362850.15,2.0,2019.0,2019-04-20,93.584685514989
junho 2019,Cultura,8.078673922582222,8.137361951342232,0.5568693744729014,4.27463578199542,0.35,3619987.65,0.8861028348272388,2.233953284372695,0.27,5532431.12,3.0,2019.0,2019-06-20,93.71587555770597
agosto 2019,Cultura,8.054454785242974,8.644894939226576,0.9811989905804044,5.243019799218623,0.37,3197683.44,1.3803564394215735,3.6076125329035147,0.33,4734928.2,4.0,2019.0,2019-08-20,93.99767211892802
outubro 2019,Cultura,8.049618890589915,8.568150013683391,0.7004352433703276,5.940307133501501,0.37,2471595.08,0.9834151352720479,4.588861657610807,0.33,3742685.53,5.0,2019.0,2019-10-20,94.05414222592046
dezembro 2019,Cultura,7.9164673271540575,7.748315632401259,0.14461591505041807,5.986662349149174,0.33,1684776.36,1.0677476833565964,5.580703374187284,0.32,2073019.66,6.0,2019.0,2019-12-20,95.63609230130871
fevereiro 2020,Cultura,7.590223116556245,7.694305709858353,2.919588267682254,2.919588267682254,0.35,4587431.28,0.5780357546769771,0.5780357546769771,0.23,6837137.44,1.0,2020.0,2020-02-20,96.07754459935659
abril 2020,Cultura,7.608423181251819,7.809784260988754,1.0545768229022958,3.981165766920447,0.37,3669643.46,0.7633839331465577,1.3428057192971719,0.25,6198451.36,2.0,2020.0,2020-04-20,95.84771806554745
junho 2020,Cultura,7.61747811784829,8.341360508752489,0.35564886082620606,4.34155269274918,0.34,3829167.35,0.5494407213993372,1.8938445406391593,0.23,6172450.97,3.0,2020.0,2020-06-20,95.73378337527687
