,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo,base = ultimo periodo
junho 2020,Serviços Administrativos e Comerciais Gerais,104928.46153846153,104928.46153846153,16111.875788461537,15.36,46967.12870384615,44.76,57961.33283461538,3,2020,2020-06-20,0.26
agosto 2020,Serviços Administrativos e Comerciais Gerais,113672.5,113672.5,16075.417420833333,14.14,66956.47351666667,58.9,46716.026483333335,4,2020,2020-08-20,0.24
outubro 2020,Serviços Administrativos e Comerciais Gerais,31722.558139534885,31722.558139534885,4772.380788372093,15.04,23457.908281395346,73.95,8264.649858139535,5,2020,2020-10-20,0.86
fevereiro 2019,Transferências da União e de suas Entidades,56825.32558139535,56825.32558139535,8540.80971860465,15.03,8540.80971860465,15.03,48284.51586279069,1,2019,2019-02-20,0.43
abril 2019,Transferências da União e de suas Entidades,42868.22807017544,42868.22807017544,19995.27296491228,46.64,43956.292184210535,102.54,-1088.0641140350879,2,2019,2019-04-20,0.57
junho 2019,Transferências da União e de suas Entidades,2443489.0,2443489.0,395401.0256,16.18,1108265.9772,45.36,1335223.0228,3,2019,2019-06-20,0.01
agosto 2019,Transferências da União e de suas Entidades,222135.36363636365,222135.36363636365,37620.23779090909,16.94,138371.69026363635,62.29,83763.67337272728,4,2019,2019-08-20,0.11
outubro 2019,Transferências da União e de suas Entidades,244348.9,244348.9,39888.18111,16.32,192097.0404,78.62,52251.8596,5,2019,2019-10-20,0.1
dezembro 2019,Transferências da União e de suas Entidades,21247.73043478261,21247.73043478261,4296.93656,20.22,21001.02702956522,98.84,246.70340521739132,6,2019,2019-12-20,1.15
fevereiro 2020,Transferências da União e de suas Entidades,97421.92,97421.92,16631.317304,17.07,16631.317304,17.07,80790.602696,1,2020,2020-02-20,0.25
abril 2020,Transferências da União e de suas Entidades,-78566.06451612903,-78566.06451612903,-16072.81220967742,20.46,-29485.16487419355,37.53,-49080.89964193548,2,2020,2020-04-20,-0.31
junho 2020,Transferências da União e de suas Entidades,93674.92307692308,93674.92307692308,25746.760026923075,27.49,60902.14891538461,65.01,32772.77416153846,3,2020,2020-06-20,0.26
agosto 2020,Transferências da União e de suas Entidades,101481.16666666667,101481.16666666667,35967.96944583333,35.44,101945.2974375,100.46,-464.13077083333343,4,2020,2020-08-20,0.24
outubro 2020,Transferências da União e de suas Entidades,28320.325581395347,28320.325581395347,6660.27069883721,23.52,35110.12114651163,123.97,-6789.795565116279,5,2020,2020-10-20,0.86
fevereiro 2019,Transferências dos Estados e do Distrito Federal e de suas Entidades,104985.86046511629,104985.86046511629,23203.29973488372,22.1,23203.29973488372,22.1,81782.56073023257,1,2019,2019-02-20,0.43
abril 2019,Transferências dos Estados e do Distrito Federal e de suas Entidades,79199.85964912282,79199.85964912282,0.0,0.0,0.0,0.0,79199.85964912282,2,2019,2019-04-20,0.57
junho 2019,Transferências dos Estados e do Distrito Federal e de suas Entidades,4514392.0,4514392.0,577996.6418,12.8,2366742.1217,52.43,2147649.8783,3,2019,2019-06-20,0.01
agosto 2019,Transferências dos Estados e do Distrito Federal e de suas Entidades,410399.2727272727,410399.2727272727,61923.753281818186,15.09,277082.1279818181,67.52,133317.14474545454,4,2019,2019-08-20,0.11
outubro 2019,Transferências dos Estados e do Distrito Federal e de suas Entidades,451439.2,451439.2,68788.51631,15.24,373578.85709,82.75,77860.34291,5,2019,2019-10-20,0.1
dezembro 2019,Transferências dos Estados e do Distrito Federal e de suas Entidades,39255.58260869566,39255.58260869566,6951.588334782608,17.71,39436.7063426087,100.46,-181.1237339130435,6,2019,2019-12-20,1.15
fevereiro 2020,Transferências dos Estados e do Distrito Federal e de suas Entidades,193433.6,193433.6,41645.87386,21.53,41645.87386,21.53,151787.72614,1,2020,2020-02-20,0.25
abril 2020,Transferências dos Estados e do Distrito Federal e de suas Entidades,-155994.83870967742,-155994.83870967742,-25097.360287096773,16.09,-58682.74243225806,37.62,-97312.09627741935,2,2020,2020-04-20,-0.31
junho 2020,Transferências dos Estados e do Distrito Federal e de suas Entidades,185993.84615384616,185993.84615384616,21188.107057692305,11.39,91155.99226538462,49.01,94837.85388846153,3,2020,2020-06-20,0.26
agosto 2020,Transferências dos Estados e do Distrito Federal e de suas Entidades,201493.33333333334,201493.33333333334,24874.5415875,12.35,123626.86654166668,61.36,77866.46679166667,4,2020,2020-08-20,0.24
