,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo,base = ultimo periodo
agosto 2016,OUTRAS DESPESAS CORRENTES,808.2285680000243,841.3752328974995,27.695206454060216,746.139133679976,95.23609921752337,137.78852819086822,496.38625902884684,344.9889738686525,490.0046407960438,4,2016,2016-08-20,85.18455635683237
outubro 2016,OUTRAS DESPESAS CORRENTES,805.4882325936821,846.7963465866585,32.480744032121294,776.0900593326996,70.7062872539588,137.58690161547744,632.2901406488737,214.50620593778473,134.946110233432,5,2016,2016-10-20,85.47436103232282
dezembro 2016,OUTRAS DESPESAS CORRENTES,801.6360507155734,852.3333671533323,25.743812991790932,798.1222848159864,54.21108233734595,139.00690308067684,768.2731676219239,84.06019953140849,762.1279357026766,6,2016,2016-12-20,85.88509952682755
fevereiro 2017,OUTRAS DESPESAS CORRENTES,864.6370924902499,851.6791539980151,542.9712240110467,542.9712240110467,308.7079299869683,91.06533945960099,91.06533945960099,760.6138145384141,,1,2017,2017-02-20,86.49596073261608
abril 2017,OUTRAS DESPESAS CORRENTES,861.275105117424,852.6641671317468,146.99126222828104,687.8512393187551,164.8129278129916,144.31546535802232,235.02671346065466,617.6374536710922,228.63711861950938,2,2017,2017-04-20,86.83359771533586
junho 2017,OUTRAS DESPESAS CORRENTES,860.592766930308,856.0799878723748,45.6902118292252,732.9965066060407,123.08348126633408,144.9044945847174,379.74501004587836,476.3349778264964,371.035089998097,3,2017,2017-06-20,86.90244546995642
agosto 2017,OUTRAS DESPESAS CORRENTES,856.9041715097937,861.6774660592255,38.39726588775588,768.2520687037869,93.42539735543853,133.9632103016818,512.0805913936072,349.5968746656182,501.18307982503444,4,2017,2017-08-20,87.27652226062857
outubro 2017,OUTRAS DESPESAS CORRENTES,851.9570952059196,856.7028325871847,38.175590920446304,763.816798424042,92.88603416314272,133.1898143429404,509.12424943194566,347.5785831552389,498.28965134080084,5,2017,2017-10-20,87.7833125879698
dezembro 2017,OUTRAS DESPESAS CORRENTES,845.8565074004653,870.0088151118854,20.93338072745584,812.787476881236,57.22133823064951,144.76067146381342,773.3127939642327,96.6960211476527,799.0793854197202,6,2017,2017-12-20,88.41643392901426
fevereiro 2018,OUTRAS DESPESAS CORRENTES,874.9531125776331,885.3048880621546,636.0511572663712,636.0511572663712,249.25373079578338,93.38289882652259,93.38289882652259,791.921989235632,87.45929871691115,1,2018,2018-02-20,88.95659468048812
