,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo,base = ultimo periodo
outubro 2017,JUROS E ENCARGOS DA DÍVIDA,1.1249237326683734,1.7773794976160302,0.6524557649476567,1.7773794976160302,0.0,0.44840165311341756,1.3537262791136901,0.42365321850234006,1.3537262791136901,5,2017,2017-10-20,88.89491535821291
dezembro 2017,JUROS E ENCARGOS DA DÍVIDA,1.116838140853548,2.674827347344247,0.36532890191784123,2.6492628999633467,0.025564447380900527,0.6274410970843435,2.6492628999633467,0.025564447380900527,2.6492628999633467,6,2017,2017-12-20,89.53848936746968
fevereiro 2018,JUROS E ENCARGOS DA DÍVIDA,5.106164645280527,5.106164645280527,4.123782968960251,4.123782968960251,0.9823816763202753,0.6897336937579274,0.6897336937579274,4.416430951522599,0.6897336937579274,1,2018,2018-02-20,90.08718518803816
abril 2018,JUROS E ENCARGOS DA DÍVIDA,5.090345645086154,4.315727829529566,,4.1110074068467535,0.20472042268281276,0.8887973557811646,1.576394240761156,2.73933358876841,1.9589675667879205,2,2018,2018-04-20,90.36714440875939
junho 2018,JUROS E ENCARGOS DA DÍVIDA,5.006102460798236,4.244304260241983,,4.042971878666402,0.20133238157558128,0.5708006019088784,2.121106148543134,2.1231981116988496,2.121106148543134,3,2018,2018-06-20,91.88785159755834
agosto 2018,JUROS E ENCARGOS DA DÍVIDA,4.994072946768012,4.23410532443375,,4.033256738531123,0.20084858590262658,0.9375303008812729,3.0535394949826418,1.1805658294511079,3.0535394949826418,4,2018,2018-08-20,92.10918721115112
outubro 2018,JUROS E ENCARGOS DA DÍVIDA,4.9477359403387196,5.270414371230375,1.075594769638852,5.071429338847187,0.19898503238318765,1.249855330927253,4.275062865059648,0.9953515061707277,4.275062865059648,5,2018,2018-10-20,92.97181691723601
dezembro 2018,JUROS E ENCARGOS DA DÍVIDA,4.950688996534712,5.289703569123501,0.14096342161809633,5.215419643066175,0.0742839260573259,0.9378052067355166,5.215419643066175,0.0742839260573259,5.2153877326468825,6,2018,2018-12-20,92.9163597878966
fevereiro 2019,JUROS E ENCARGOS DA DÍVIDA,5.760805668499783,5.517260680516432,3.6352293995830713,3.6352293995830713,1.8820312809333601,0.5007005623927356,0.5007005623927356,5.016560118123696,0.4458359545429886,1,2019,2019-02-20,93.61720061986506
abril 2019,JUROS E ENCARGOS DA DÍVIDA,5.685009308117914,5.233843609716998,0.22557120111408527,3.812970978679492,1.4208726310375066,0.6100017027343293,1.1041144226525232,4.129729187064475,1.1041144226525232,2,2019,2019-04-20,94.86536798275618
