,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
abril 2017,Saúde,436.864796753914,439.82520322692017,51.03738389512178,262.66289708402576,26.95,155777511.69,70.97398242167087,130.3958055165158,26.49,272078991.68,2.0,2017.0,2017-04-20,87.92926389451829
junho 2017,Saúde,436.51219007051003,440.0530630317395,49.37058476165745,311.8214787415599,26.49,112844168.06,74.65891543989767,204.94947458990694,25.75,206891843.32,3.0,2017.0,2017-06-20,88.00029156985306
agosto 2017,Saúde,434.6371781487935,445.4541897273754,36.591224710985635,347.0732929998998,25.66,86948960.01,72.73764568135671,276.8067721001311,26.08,149050456.53,4.0,2017.0,2017-08-20,88.37992222296648
outubro 2017,Saúde,432.1192032773677,442.87354887911164,36.37924150069198,345.06260023302934,25.66,86948960.01,72.31625613338383,275.2031529634589,26.08,149050456.53,5.0,2017.0,2017-10-20,88.89491535821291
dezembro 2017,Saúde,429.01326872235506,445.25627538099087,29.51049524809144,430.7741423211147,25.22,12967083.17,80.20589705871365,414.0496504117833,25.28,27941940.58,6.0,2017.0,2017-12-20,89.53848936746968
fevereiro 2018,Saúde,444.56156462659436,451.997781415938,207.9484458072228,207.9484458072228,26.48,219857176.92,65.39334360046388,65.39334360046388,29.16,348281055.84,1.0,2018.0,2018-02-20,90.08718518803816
abril 2018,Saúde,443.18430400814987,454.92810689075077,44.94846841266657,252.2526857758097,25.26,183151990.48,64.00563172425917,129.19638543838195,26.18,294354455.11,2.0,2018.0,2018-04-20,90.36714440875939
junho 2018,Saúde,435.8497810505366,450.34528895329606,50.68210863604247,298.76011336333687,25.49,139288361.19,67.80776822695421,194.8660051648851,25.39,234754425.15,3.0,2018.0,2018-06-20,91.88785159755834
agosto 2018,Saúde,434.8024471021655,449.805956750253,39.22736752325365,337.26956929698173,25.2,103656351.8,67.19291337152006,261.5906613719741,25.39,173363578.78,4.0,2018.0,2018-08-20,92.10918721115112
outubro 2018,Saúde,430.7681760769728,451.1125724619954,40.52695602748274,374.66720335269935,24.95,71072648.61,69.90330570591598,329.0668242854164,25.46,113468149.55,5.0,2018.0,2018-10-20,92.97181691723601
