Data,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo
dezembro 2018,Produção Industrial,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Mineração,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Propriedade Industrial,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Normalização e Qualidade,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU22 - Administração Geral,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU22 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Comércio e Serviços,"2.650.000,00","2.104.000,00","8.725,14","1.265.007,87","0,08","838.992,13","359.023,13","1.176.797,21","0,08","927.202,79","88.210,66",06,2018,2018-12-20
dezembro 2018,Promoção Comercial,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Comercialização,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Comércio Exterior,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Serviços Financeiros,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Turismo,"2.650.000,00","2.104.000,00","8.725,14","1.265.007,87","0,08","838.992,13","359.023,13","1.176.797,21","0,08","927.202,79","88.210,66",06,2018,2018-12-20
dezembro 2018,FU23 - Administração Geral,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU23 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Comunicações,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",06,2018,2018-12-20
dezembro 2018,Comunicações Postais,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Telecomunicações,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU24 - Administração Geral,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Energia,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",06,2018,2018-12-20
dezembro 2018,Conservação de Energia,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Energia Elétrica,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Combustíveis Minerais,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Biocombustíveis,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU25 - Administração Geral,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU25 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Transporte,"410.000,00","410.000,00","-6.858,76","262.822,45","0,02","147.177,55","42.039,45","243.250,91","0,02","166.749,09","19.571,54",06,2018,2018-12-20
dezembro 2018,Transporte Aéreo,"410.000,00","410.000,00","-6.858,76","262.822,45","0,02","147.177,55","42.039,45","243.250,91","0,02","166.749,09","19.571,54",06,2018,2018-12-20
dezembro 2018,Transporte Rodoviário,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Transporte Ferroviário,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Transporte Hidroviário,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Transportes Especiais,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU26 - Administração Geral,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU26 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Desporto e Lazer,"17.034.000,00","15.739.412,60","1.074.984,75","12.890.845,10","0,82","2.848.567,50","2.481.291,13","12.113.045,53","0,80","3.626.367,07","777.799,57",06,2018,2018-12-20
dezembro 2018,Desporto de Rendimento,"6.885.000,00","4.694.885,01","-142.129,41","3.121.922,92","0,20","1.572.962,09","729.768,66","2.704.287,13","0,18","1.990.597,88","417.635,79",06,2018,2018-12-20
dezembro 2018,Desporto Comunitário,"650.000,00","852.167,99","26.977,08","493.363,08","0,03","358.804,91","38.732,00","446.728,08","0,03","405.439,91","46.635,00",06,2018,2018-12-20
dezembro 2018,Lazer,"3.070.000,00","3.448.000,00","-32.320,74","2.933.949,76","0,19","514.050,24","466.399,06","2.642.922,95","0,17","805.077,05","291.026,81",06,2018,2018-12-20
dezembro 2018,FU27 - Administração Geral,"6.429.000,00","6.744.359,60","1.222.457,82","6.341.609,34","0,40","402.750,26","1.246.391,41","6.319.107,37","0,42","425.252,23","22.501,97",06,2018,2018-12-20
dezembro 2018,FU27 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Encargos Especiais,"46.065.000,00","46.855.000,00","1.438.656,86","43.984.236,34","2,78","2.870.763,66","6.149.589,13","43.984.163,84","2,89","2.870.836,16","72,50",06,2018,2018-12-20
dezembro 2018,Refinanciamento da Dívida Interna,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Refinanciamento da Dívida Externa,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Serviço da Dívida Interna,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Serviço da Dívida Externa,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Transferências,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Outros Encargos Especiais,"46.065.000,00","46.855.000,00","1.438.656,86","43.984.236,34","2,78","2.870.763,66","6.149.589,13","43.984.163,84","2,89","2.870.836,16","72,50",06,2018,2018-12-20
