Data,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo
junho 2020,Urbanismo,"90.040.750,00","111.298.537,74","9.024.740,61","68.403.647,19","5,64","42.894.890,55","14.065.149,00","36.228.573,69","4,54","75.069.964,05",,03,2020,2020-06-20
junho 2020,Infra-Estrutura Urbana,"18.295.000,00","34.638.129,05","235.660,60","3.713.269,18","0,31","30.924.859,87","464.386,65","2.279.291,49","0,29","32.358.837,56",,03,2020,2020-06-20
junho 2020,Serviços Urbanos,"55.845.850,00","55.440.508,69","2.612.188,09","45.093.846,32","3,72","10.346.662,37","10.120.356,30","25.151.454,55","3,15","30.289.054,14",,03,2020,2020-06-20
junho 2020,Transportes Coletivos Urbanos,"15.699.900,00","21.069.900,00","6.176.891,92","19.570.031,69","1,61","1.499.868,31","3.473.116,05","8.776.027,65","1,10","12.293.872,35",,03,2020,2020-06-20
junho 2020,FU15 - Administração Geral,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,FU15 - Demais Subfunções,"200.000,00","150.000,00","0,00","26.500,00","0,00","123.500,00","7.290,00","21.800,00","0,00","128.200,00",,03,2020,2020-06-20
junho 2020,Habitação,"10.060.000,00","10.060.000,00","79.087,71","5.740.817,91","0,47","4.319.182,09","790.787,19","2.882.542,78","0,36","7.177.457,22",,03,2020,2020-06-20
junho 2020,Habitação Rural,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,FU16 - Administração Geral,"7.360.000,00","7.360.000,00","71.584,64","5.432.726,31","0,45","1.927.273,69","783.284,12","2.574.451,18","0,32","4.785.548,82",,03,2020,2020-06-20
junho 2020,FU16 - Demais Subfunções,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Saneamento,"231.050.000,00","233.350.000,00","6.217.521,28","178.161.477,35","14,70","55.188.522,65","35.592.132,15","94.988.842,21","11,91","138.361.157,79",,03,2020,2020-06-20
junho 2020,Saneamento Básico Rural,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Saneamento Básico Urbano,"129.025.925,00","130.980.925,00","-3.724.034,41","104.851.177,17","8,65","26.129.747,83","19.171.028,12","47.132.947,32","5,91","83.847.977,68",,03,2020,2020-06-20
junho 2020,FU17 - Administração Geral,"84.542.000,00","84.647.000,00","7.589.602,62","62.234.248,31","5,13","22.412.751,69","14.135.081,76","43.338.518,38","5,43","41.308.481,62",,03,2020,2020-06-20
junho 2020,FU17 - Demais Subfunções,"17.482.075,00","17.722.075,00","2.351.953,07","11.076.051,87","0,91","6.646.023,13","2.286.022,27","4.517.376,51","0,57","13.204.698,49",,03,2020,2020-06-20
junho 2020,Gestão Ambiental,"134.962.000,00","135.612.000,00","2.351.859,22","119.648.756,58","9,87","15.963.243,42","22.542.372,92","71.330.062,94","8,94","64.281.937,06",,03,2020,2020-06-20
junho 2020,Preservação e Conservação Ambiental,"28.242.000,00","28.489.500,00","197.894,70","27.132.010,49","2,24","1.357.489,51","4.090.910,35","14.364.108,94","1,80","14.125.391,06",,03,2020,2020-06-20
junho 2020,Controle Ambiental,"95.700.000,00","95.991.500,00","628.925,98","86.095.180,16","7,10","9.896.319,84","16.624.076,77","51.942.513,19","6,51","44.048.986,81",,03,2020,2020-06-20
junho 2020,Recuperação de Áreas Degradadas,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Recursos Hídricos,"250.000,00","250.000,00","0,00","105.547,90","0,01","144.452,10","24.803,00","105.547,90","0,01","144.452,10",,03,2020,2020-06-20
junho 2020,Meteorologia,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,FU18 - Administração Geral,"10.120.000,00","10.125.000,00","1.358.438,54","6.032.798,03","0,50","4.092.201,97","1.735.942,80","4.851.252,91","0,61","5.273.747,09",,03,2020,2020-06-20
junho 2020,FU18 - Demais Subfunções,"650.000,00","756.000,00","166.600,00","283.220,00","0,02","472.780,00","66.640,00","66.640,00","0,01","689.360,00",,03,2020,2020-06-20
junho 2020,Ciência e Tecnologia,"550.000,00","550.000,00","0,00","500.000,00","0,04","50.000,00","0,00","500.000,00","0,06","50.000,00",,03,2020,2020-06-20
junho 2020,Desenvolvimento Científico,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Desenvolvimento Tecnológico e Engenharia,"550.000,00","550.000,00","0,00","500.000,00","0,04","50.000,00","0,00","500.000,00","0,06","50.000,00",,03,2020,2020-06-20
junho 2020,Difusão do Conhecimento Científico e Tecnológico,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,FU19 - Administração Geral,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,FU19 - Demais Subfunções,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Agricultura,"11.715.000,00","11.369.184,28","1.670.571,95","5.743.018,95","0,47","5.626.165,33","1.311.869,89","3.624.570,18","0,45","7.744.614,10",,03,2020,2020-06-20
junho 2020,Abastecimento,"1.945.000,00","1.945.000,00","3.964,56","667.780,86","0,06","1.277.219,14","130.689,44","296.135,78","0,04","1.648.864,22",,03,2020,2020-06-20
junho 2020,Extensão Rural,"5.660.000,00","5.314.184,28","978.098,88","3.144.330,96","0,26","2.169.853,32","483.273,74","1.406.758,95","0,18","3.907.425,33",,03,2020,2020-06-20
junho 2020,Irrigação,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Promoção da Produção Agropecuária,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Defesa Agropecuária,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,FU20 - Administração Geral,"4.110.000,00","4.110.000,00","688.508,51","1.930.907,13","0,16","2.179.092,87","697.906,71","1.921.675,45","0,24","2.188.324,55",,03,2020,2020-06-20
junho 2020,FU20 - Demais Subfunções,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Organização Agrária,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Reforma Agrária,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Colonização,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,FU21 - Administração Geral,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,FU21 - Demais Subfunções,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Indústria,"52.500,00","52.500,00",,"3.000,00","0,00","49.500,00",,,,"52.500,00",,03,2020,2020-06-20
junho 2020,Promoção Industrial,"52.500,00","52.500,00",,"3.000,00","0,00","49.500,00",,,,"52.500,00",,03,2020,2020-06-20
junho 2020,Produção Industrial,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Mineração,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Propriedade Industrial,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Normalização e Qualidade,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,FU22 - Administração Geral,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,FU22 - Demais Subfunções,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Comércio e Serviços,"2.160.000,00","1.967.000,00","57.177,20","865.274,59","0,07","1.101.725,41","159,68","280.229,85","0,04","1.686.770,15",,03,2020,2020-06-20
junho 2020,Promoção Comercial,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Comercialização,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Comércio Exterior,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Serviços Financeiros,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Turismo,"2.160.000,00","1.967.000,00","57.177,20","865.274,59","0,07","1.101.725,41","159,68","280.229,85","0,04","1.686.770,15",,03,2020,2020-06-20
junho 2020,FU23 - Administração Geral,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,FU23 - Demais Subfunções,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Comunicações,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Comunicações Postais,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Telecomunicações,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,FU24 - Administração Geral,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Energia,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Conservação de Energia,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Energia Elétrica,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Combustíveis Minerais,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Biocombustíveis,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,FU25 - Administração Geral,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,FU25 - Demais Subfunções,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Transporte,"900.000,00","900.000,00","35.691,53","309.847,45","0,03","590.152,55","50.656,64","125.692,27","0,02","774.307,73",,03,2020,2020-06-20
junho 2020,Transporte Aéreo,"900.000,00","900.000,00","35.691,53","309.847,45","0,03","590.152,55","50.656,64","125.692,27","0,02","774.307,73",,03,2020,2020-06-20
junho 2020,Transporte Rodoviário,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Transporte Ferroviário,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Transporte Hidroviário,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Transportes Especiais,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,FU26 - Administração Geral,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,FU26 - Demais Subfunções,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Desporto e Lazer,"16.979.900,00","18.789.203,33","2.619.663,31","10.503.789,20","0,87","8.285.414,13","1.801.530,35","5.110.170,71","0,64","13.679.032,62",,03,2020,2020-06-20
junho 2020,Desporto de Rendimento,"5.685.000,00","5.481.000,00","46.829,49","3.469.869,60","0,29","2.011.130,40","306.231,96","1.050.834,63","0,13","4.430.165,37",,03,2020,2020-06-20
junho 2020,Desporto Comunitário,"1.750.000,00","3.757.175,00","1.344.540,28","1.751.248,61","0,14","2.005.926,39",,"8.069,23","0,00","3.749.105,77",,03,2020,2020-06-20
junho 2020,Lazer,"3.410.000,00","3.410.000,00","197.859,27","2.343.928,48","0,19","1.066.071,52","437.047,93","1.149.997,62","0,14","2.260.002,38",,03,2020,2020-06-20
junho 2020,FU27 - Administração Geral,"6.134.900,00","6.141.028,33","1.030.434,27","2.938.742,51","0,24","3.202.285,82","1.058.250,46","2.901.269,23","0,36","3.239.759,10",,03,2020,2020-06-20
junho 2020,FU27 - Demais Subfunções,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Encargos Especiais,"56.855.000,00","54.128.289,72","-993.073,58","45.953.468,00","3,79","8.174.821,72","4.570.125,47","24.977.173,62","3,13","29.151.116,10",,03,2020,2020-06-20
junho 2020,Refinanciamento da Dívida Interna,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Refinanciamento da Dívida Externa,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Serviço da Dívida Interna,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Serviço da Dívida Externa,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Transferências,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Outros Encargos Especiais,"56.855.000,00","54.128.289,72","-993.073,58","45.953.468,00","3,79","8.174.821,72","4.570.125,47","24.977.173,62","3,13","29.151.116,10",,03,2020,2020-06-20
junho 2020,Transferências para a Educação Básica,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,FU28 - Demais Subfunções,,,,,,,,,,,,03,2020,2020-06-20
junho 2020,Reserva de Contingência,"5.250.000,00","5.250.000,00",,,,"5.250.000,00",,,,"5.250.000,00",,03,2020,2020-06-20
junho 2020,DESPESAS (INTRA-ORÇAMENTÁRIAS) (II),"36.380.800,00","36.406.800,00","5.614.492,73","18.141.080,41","1,50","18.265.719,59","5.869.249,01","17.430.262,09","2,18","18.976.537,91",,03,2020,2020-06-20
junho 2020,TOTAL (III) = (I + II),"1.830.908.000,00","1.909.495.100,57","189.274.636,10","1.212.280.982,00","100,00","697.214.118,57","286.013.638,94","797.827.930,33","100,00","1.111.667.170,24",,03,2020,2020-06-20
abril 2020,Legislativa,"40.928.950,00","36.995.950,00","5.751.785,08","15.193.684,14","1,49","21.802.265,86","5.543.829,10","10.030.966,31","1,96","26.964.983,69",,02,2020,2020-04-20
abril 2020,Ação Legislativa,"40.928.950,00","36.995.950,00","5.751.785,08","15.193.684,14","1,49","21.802.265,86","5.543.829,10","10.030.966,31","1,96","26.964.983,69",,02,2020,2020-04-20
abril 2020,Controle Externo,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU01 - Administração Geral,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU01 - Demais Subfunções,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Judiciária,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Ação Judiciária,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Defesa do Interesse Público no Processo Judiciário,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU02 - Administração Geral,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU02 - Demais Subfunções,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Essencial à Justiça,"880.000,00","955.000,00","295,86","932.477,08","0,09","22.522,92","114.561,31","282.360,33","0,06","672.639,67",,02,2020,2020-04-20
abril 2020,Defesa da Ordem Jurídica,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Representação Judicial e Extrajudicial,"880.000,00","955.000,00","295,86","932.477,08","0,09","22.522,92","114.561,31","282.360,33","0,06","672.639,67",,02,2020,2020-04-20
abril 2020,FU03 - Administração Geral,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU03 - Demais Subfunções,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Administração,"83.130.000,00","83.440.769,80","9.074.835,16","32.296.932,57","3,16","51.143.837,23","11.562.315,22","21.616.842,41","4,22","61.823.927,39",,02,2020,2020-04-20
abril 2020,Planejamento e Orçamento,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU04 - Administração Geral,"77.640.000,00","77.997.270,80","8.972.232,75","29.464.613,56","2,88","48.532.657,24","10.774.148,34","20.613.327,38","4,03","57.383.943,42",,02,2020,2020-04-20
abril 2020,Administração Financeira,"3.149.000,00","3.149.000,00","21.431,61","1.604.631,08","0,16","1.544.368,92","376.874,89","579.184,94","0,11","2.569.815,06",,02,2020,2020-04-20
abril 2020,Controle Interno,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Normatização e Fiscalização,"400.000,00","353.499,00","37.000,00","37.000,00","0,00","316.499,00",,,,"353.499,00",,02,2020,2020-04-20
abril 2020,Tecnologia da Informação,"550.000,00","550.000,00","27.000,00","274.913,13","0,03","275.086,87","162.979,25","162.979,25","0,03","387.020,75",,02,2020,2020-04-20
abril 2020,Ordenamento Territorial,"200.000,00","200.000,00",,,,"200.000,00",,,,"200.000,00",,02,2020,2020-04-20
abril 2020,Formação de Recursos Humanos,"150.000,00","150.000,00","0,00","135.000,00","0,01","15.000,00","36.388,30","44.285,76","0,01","105.714,24",,02,2020,2020-04-20
abril 2020,Administração de Receitas,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Administração de Concessões,"1.000,00","1.000,00",,,,"1.000,00",,,,"1.000,00",,02,2020,2020-04-20
abril 2020,Comunicação Social,"1.040.000,00","1.040.000,00","17.170,80","780.774,80","0,08","259.225,20","211.924,44","217.065,08","0,04","822.934,92",,02,2020,2020-04-20
abril 2020,FU04 - Demais Subfunções,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Defesa Nacional,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Defesa Aérea,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Defesa Naval,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Defesa Terrestre,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU05 - Administração Geral,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU05 - Demais Subfunções,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Segurança Pública,"44.870.000,00","44.870.000,00","6.128.381,38","13.974.954,69","1,37","30.895.045,31","6.267.253,44","12.521.951,37","2,45","32.348.048,63",,02,2020,2020-04-20
abril 2020,Policiamento,"43.745.000,00","43.745.000,00","6.107.522,53","13.076.185,25","1,28","30.668.814,75","6.100.132,02","12.275.989,92","2,40","31.469.010,08",,02,2020,2020-04-20
abril 2020,Defesa Civil,"920.000,00","920.000,00","2.092,00","785.002,59","0,08","134.997,41","154.032,58","219.467,76","0,04","700.532,24",,02,2020,2020-04-20
abril 2020,Informação e Inteligência,"5.000,00","5.000,00",,,,"5.000,00",,,,"5.000,00",,02,2020,2020-04-20
abril 2020,FU06 - Administração Geral,"200.000,00","200.000,00","18.766,85","113.766,85","0,01","86.233,15","13.088,84","26.493,69","0,01","173.506,31",,02,2020,2020-04-20
abril 2020,FU06 - Demais Subfunções,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Relações Exteriores,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Relações Diplomáticas,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Cooperação Internacional,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU07 - Administração Geral,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU07 - Demais Subfunções,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Assistência Social,"46.118.000,00","47.874.867,80","1.831.395,65","36.881.166,40","3,61","10.993.701,40","6.806.889,04","13.771.511,60","2,69","34.103.356,20",,02,2020,2020-04-20
abril 2020,Assistência ao Idoso,"3.765.000,00","3.846.810,98","0,00","3.702.715,68","0,36","144.095,30","603.045,75","1.220.165,01","0,24","2.626.645,97",,02,2020,2020-04-20
abril 2020,Assistência ao Portador de Deficiência,"5.000,00","5.000,00",,,,"5.000,00",,,,"5.000,00",,02,2020,2020-04-20
abril 2020,Assistência à Criança e ao Adolescente,"12.760.000,00","12.640.538,39","168.374,56","10.860.500,15","1,06","1.780.038,24","1.894.722,64","3.461.847,55","0,68","9.178.690,84",,02,2020,2020-04-20
abril 2020,Assistência Comunitária,"19.928.000,00","21.722.518,43","617.841,70","18.703.069,81","1,83","3.019.448,62","2.935.673,31","6.451.131,95","1,26","15.271.386,48",,02,2020,2020-04-20
abril 2020,FU08 - Demais Subfunções,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Previdência Social,"150.200.000,00","150.200.000,00","19.641.014,31","39.385.178,08","3,85","110.814.821,92","19.641.324,18","39.084.371,92","7,64","111.115.628,08",,02,2020,2020-04-20
abril 2020,Previdência Básica,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Previdência do Regime Estatutário,"150.200.000,00","150.200.000,00","19.641.014,31","39.385.178,08","3,85","110.814.821,92","19.641.324,18","39.084.371,92","7,64","111.115.628,08",,02,2020,2020-04-20
abril 2020,Previdência Complementar,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Previdência Especial,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU09 - Administração Geral,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU09 - Demais Subfunções,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Saúde,"440.289.000,00","478.518.925,12","50.287.640,56","257.962.455,04","25,22","220.556.470,08","65.249.841,06","134.533.118,85","26,29","343.985.806,27",,02,2020,2020-04-20
abril 2020,Atenção Básica,"113.410.000,00","128.879.309,46","19.363.478,30","46.110.577,53","4,51","82.768.731,93","15.768.259,77","28.749.934,64","5,62","100.129.374,82",,02,2020,2020-04-20
abril 2020,Assistência Hospitalar e Ambulatorial,"247.406.000,00","250.497.241,80","15.992.856,80","169.105.905,42","16,53","81.391.336,38","38.375.658,43","86.844.759,48","16,97","163.652.482,32",,02,2020,2020-04-20
abril 2020,Suporte Profilático e Terapêutico,"3.385.000,00","6.115.245,78","2.196.882,07","3.025.884,65","0,30","3.089.361,13","649.745,95","649.745,95","0,13","5.465.499,83",,02,2020,2020-04-20
abril 2020,Vigilância Sanitária,"15.000.000,00","15.000.000,00","1.792.829,72","3.836.465,65","0,38","11.163.534,35","1.816.749,31","3.631.647,77","0,71","11.368.352,23",,02,2020,2020-04-20
abril 2020,Vigilância Epidemiológica,"4.144.465,00","5.362.957,91","1.337.840,07","2.208.058,61","0,22","3.154.899,30","105.657,51","251.445,73","0,05","5.111.512,18",,02,2020,2020-04-20
abril 2020,Alimentação e Nutrição,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU10 - Administração Geral,"56.943.535,00","72.664.170,17","9.603.753,60","33.675.563,18","3,29","38.988.606,99","8.533.770,09","14.405.585,28","2,81","58.258.584,89",,02,2020,2020-04-20
abril 2020,FU10 - Demais Subfunções,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Trabalho,"8.462.500,00","8.462.500,00","30.765,20","6.606.893,10","0,65","1.855.606,90","1.110.694,97","2.049.103,19","0,40","6.413.396,81",,02,2020,2020-04-20
abril 2020,Proteção e Benefícios ao Trabalhador,"7.225.000,00","7.225.000,00","30.061,20","6.435.939,50","0,63","789.060,50","969.793,38","1.900.301,60","0,37","5.324.698,40",,02,2020,2020-04-20
abril 2020,Relações de Trabalho,"1.137.500,00","1.137.500,00","704,00","170.953,60","0,02","966.546,40","140.901,59","148.801,59","0,03","988.698,41",,02,2020,2020-04-20
abril 2020,Empregabilidade,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Fomento ao Trabalho,"100.000,00","100.000,00",,,,"100.000,00",,,,"100.000,00",,02,2020,2020-04-20
abril 2020,FU11 - Administração Geral,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU11 - Demais Subfunções,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Educação,"411.201.100,00","416.549.411,69","80.425.163,99","188.312.384,25","18,41","228.237.027,44","60.070.108,63","105.650.287,73","20,64","310.899.123,96",,02,2020,2020-04-20
abril 2020,Ensino Fundamental,"124.940.000,00","126.545.000,00","29.569.401,00","60.362.157,52","5,90","66.182.842,48","17.939.196,42","31.155.766,82","6,09","95.389.233,18",,02,2020,2020-04-20
abril 2020,Ensino Médio,"3.525.000,00","3.908.676,48","3.275.834,03","3.407.834,03","0,33","500.842,45","393.683,30","394.619,00","0,08","3.514.057,48",,02,2020,2020-04-20
abril 2020,Ensino Profissional,"2.335.000,00","2.335.000,00","795.011,08","1.294.789,25","0,13","1.040.210,75","801.488,39","1.294.666,56","0,25","1.040.333,44",,02,2020,2020-04-20
abril 2020,Ensino Superior,"14.015.000,00","14.015.000,00","2.168.896,15","4.593.130,73","0,45","9.421.869,27","2.317.454,82","4.436.832,40","0,87","9.578.167,60",,02,2020,2020-04-20
abril 2020,Educação Infantil,"216.175.000,00","218.877.098,87","27.894.214,76","82.376.507,71","8,05","136.500.591,16","30.466.716,59","57.543.825,60","11,24","161.333.273,27",,02,2020,2020-04-20
abril 2020,Educação de Jovens e Adultos,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Educação Especial,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Educação Básica,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU12 - Administração Geral,"15.972.000,00","15.972.000,00","2.629.315,44","7.353.192,31","0,72","8.618.807,69","3.212.812,36","5.372.303,71","1,05","10.599.696,29",,02,2020,2020-04-20
abril 2020,FU12 - Demais Subfunções,"34.239.100,00","34.896.636,34","14.092.491,53","28.924.772,70","2,83","5.971.863,64","4.938.756,75","5.452.273,64","1,07","29.444.362,70",,02,2020,2020-04-20
abril 2020,Cultura,"7.292.500,00","7.485.500,00","1.010.787,82","3.815.856,54","0,37","3.669.643,46","731.686,08","1.287.048,64","0,25","6.198.451,36",,02,2020,2020-04-20
abril 2020,Patrimônio Histórico Artístico e Arqueológico,"1.243.000,00","1.243.000,00","253.629,56","329.599,96","0,03","913.400,04","14.830,48","25.361,96","0,00","1.217.638,04",,02,2020,2020-04-20
abril 2020,Difusão Cultural,"6.049.500,00","6.242.500,00","757.158,26","3.486.256,58","0,34","2.756.243,42","716.855,60","1.261.686,68","0,25","4.980.813,32",,02,2020,2020-04-20
abril 2020,FU13 - Administração Geral,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU13 - Demais Subfunções,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Direitos da Cidadania,"580.000,00","819.719,84","270,00","347.918,34","0,03","471.801,50","57.548,90","102.641,00","0,02","717.078,84",,02,2020,2020-04-20
abril 2020,Custódia e Reintegração Social,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Direitos Individuais Coletivos e Difusos,"580.000,00","819.719,84","270,00","347.918,34","0,03","471.801,50","57.548,90","102.641,00","0,02","717.078,84",,02,2020,2020-04-20
abril 2020,Assistência aos Povos Indígenas,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU14 - Administração Geral,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU14 - Demais Subfunções,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Urbanismo,"90.040.750,00","102.654.980,20","7.775.163,76","59.378.906,58","5,80","43.276.073,62","14.105.816,81","22.163.424,69","4,33","80.491.555,51",,02,2020,2020-04-20
abril 2020,Infra-Estrutura Urbana,"18.295.000,00","30.592.571,51","1.808.810,89","3.477.608,58","0,34","27.114.962,93","1.419.561,78","1.814.904,84","0,35","28.777.666,67",,02,2020,2020-04-20
abril 2020,Serviços Urbanos,"55.845.850,00","56.212.508,69","3.668.968,90","42.481.658,23","4,15","13.730.850,46","9.510.746,29","15.031.098,25","2,94","41.181.410,44",,02,2020,2020-04-20
abril 2020,Transportes Coletivos Urbanos,"15.699.900,00","15.699.900,00","2.297.383,97","13.393.139,77","1,31","2.306.760,23","3.160.998,74","5.302.911,60","1,04","10.396.988,40",,02,2020,2020-04-20
abril 2020,FU15 - Administração Geral,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU15 - Demais Subfunções,"200.000,00","150.000,00","0,00","26.500,00","0,00","123.500,00","14.510,00","14.510,00","0,00","135.490,00",,02,2020,2020-04-20
abril 2020,Habitação,"10.060.000,00","10.060.000,00","154.664,38","5.661.730,20","0,55","4.398.269,80","956.192,76","2.091.755,59","0,41","7.968.244,41",,02,2020,2020-04-20
abril 2020,Habitação Rural,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,FU16 - Administração Geral,"7.360.000,00","7.360.000,00","49.448,21","5.361.141,67","0,52","1.998.858,33","850.976,59","1.791.167,06","0,35","5.568.832,94",,02,2020,2020-04-20
abril 2020,FU16 - Demais Subfunções,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Saneamento,"231.050.000,00","233.350.000,00","16.478.370,37","171.943.956,07","16,81","61.406.043,93","35.913.882,66","59.396.710,06","11,61","173.953.289,94",,02,2020,2020-04-20
abril 2020,Saneamento Básico Rural,,,,,,,,,,,,02,2020,2020-04-20
abril 2020,Saneamento Básico Urbano,"129.025.925,00","130.720.925,00","6.118.270,39","108.575.211,58","10,61","22.145.713,42","18.138.841,88","27.961.919,20","5,46","102.759.005,80",,02,2020,2020-04-20
abril 2020,FU17 - Administração Geral,"84.542.000,00","85.147.000,00","8.751.406,51","54.644.645,69","5,34","30.502.354,31","16.453.775,34","29.203.436,62","5,71","55.943.563,38",,02,2020,2020-04-20
abril 2020,FU17 - Demais Subfunções,"17.482.075,00","17.482.075,00","1.608.693,47","8.724.098,80","0,85","8.757.976,20","1.321.265,44","2.231.354,24","0,44","15.250.720,76",,02,2020,2020-04-20
