,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2018,Contribuições Sociais,19.959553584084595,19.959553584084595,3.0322759938587978,15.19,3.0322759938587978,15.19,16.927277590225803,1,2018,2018-02-20,90.08718518803816
abril 2018,Contribuições Sociais,19.89771848789003,19.89771848789003,3.093726938359478,15.55,6.116608880543781,30.74,13.78110960734625,2,2018,2018-04-20,90.36714440875939
junho 2018,Contribuições Sociais,19.568419206002847,19.568419206002847,3.032338880011468,15.5,9.0477203302258,46.24,10.520698875777045,3,2018,2018-06-20,91.88785159755834
agosto 2018,Contribuições Sociais,19.5213968817034,19.5213968817034,3.0372722034630115,15.56,12.06325113316689,61.8,7.4581457485365075,4,2018,2018-08-20,92.10918721115112
outubro 2018,Contribuições Sociais,19.3402695528762,19.3402695528762,2.9887072041128047,15.45,14.940030667965718,77.25,4.400238884910481,5,2018,2018-10-20,92.97181691723601
dezembro 2018,Contribuições Sociais,19.35181279275884,19.35181279275884,4.4630681286549745,23.06,19.41201575392487,100.31,-0.0602029611660342,6,2018,2018-12-20,92.9163597878966
fevereiro 2019,Contribuições Sociais,19.684416835777164,19.684416835777164,2.912252611643975,14.79,2.912252611643975,14.79,16.77216422413319,1,2019,2019-02-20,93.61720061986506
abril 2019,Contribuições Sociais,19.425424042364632,19.425424042364632,2.9811860957668666,15.35,5.855121471736289,30.14,13.570302570628343,2,2019,2019-04-20,94.86536798275618
junho 2019,Contribuições Sociais,19.39823097401045,19.39823097401045,2.964604628763509,15.28,8.81152969160516,45.42,10.58670128240529,3,2019,2019-06-20,94.99835332762892
agosto 2019,Contribuições Sociais,19.340076823391154,19.340076823391154,2.97659116469927,15.39,11.76170468332667,60.82,7.578372140064484,4,2019,2019-08-20,95.28400620266395
outubro 2019,Contribuições Sociais,19.32846504126639,19.32846504126639,2.9493262956796404,15.26,14.70396925151444,76.07,4.624495789751948,5,2019,2019-10-20,95.34124908861676
dezembro 2019,Contribuições Sociais,19.00874613605604,19.00874613605604,4.344289498540236,22.85,18.805035248276138,98.93,0.20371088777989946,6,2019,2019-12-20,96.94484774587804
fevereiro 2020,Contribuições Sociais,19.411177271202764,19.411177271202764,2.92824518303608,15.09,2.92824518303608,15.09,16.482932088166685,1,2020,2020-02-20,97.3923412056326
abril 2020,Contribuições Sociais,19.457721974398975,19.457721974398975,3.010334601191864,15.47,5.9456012183751845,30.56,13.51212075602379,2,2020,2020-04-20,97.15936955453364
junho 2020,Contribuições Sociais,19.480878998475145,19.480878998475145,3.023660399916404,15.52,8.9763375972136,46.08,10.504541401261546,3,2020,2020-06-20,97.04387569718891
agosto 2020,Contribuições Sociais,19.364162039278842,19.364162039278842,3.0322454213829175,15.66,11.954802548570076,61.74,7.4093594907087645,4,2020,2020-08-20,97.62880501439999
outubro 2020,Contribuições Sociais,19.074765412168297,19.074765412168297,3.0171231056401977,15.82,14.793261608313994,77.55,4.281503803854304,5,2020,2020-10-20,99.11
fevereiro 2016,RECEITA DE SERVIÇOS,231.047879958191,231.047879958191,35.030990663010215,15.16,35.030990663010215,15.16,196.01688929518076,1,2016,2016-02-20,83.58951401542743
abril 2016,RECEITA DE SERVIÇOS,228.65104239251716,228.65104239251716,38.00971677344783,16.62,72.67730399644783,31.79,155.9737383960693,2,2016,2016-04-20,84.46574219786739
junho 2016,RECEITA DE SERVIÇOS,226.073527786939,226.073527786939,42.35278588854847,18.73,114.21082044023555,50.52,111.86270734670346,3,2016,2016-06-20,85.42875492349346
agosto 2016,RECEITA DE SERVIÇOS,223.9083944825002,223.9083944825002,38.75261978748606,17.31,151.86962949506702,67.83,72.03876498743314,4,2016,2016-08-20,86.25482775952575
outubro 2016,RECEITA DE SERVIÇOS,223.1475716707202,223.1475716707202,39.06651725544396,17.51,190.42010589905712,85.33,32.727465771663084,5,2016,2016-10-20,86.54891404553938
dezembro 2016,RECEITA DE SERVIÇOS,222.07766832358774,222.07766832358774,40.43309674366541,18.21,229.9402144029789,103.54,-7.862546079391153,6,2016,2016-12-20,86.96588065693713
fevereiro 2017,RECEITA DE SERVIÇOS,254.73503133542826,254.73503133542826,50.947006267085655,20.0,38.565655356489486,15.14,216.16937597893877,1,2017,2017-02-20,87.5866475177533
abril 2017,RECEITA DE SERVIÇOS,253.7424562858298,253.7424562858298,41.47032949547219,16.34,79.88571377586514,31.48,173.85674250996468,2,2017,2017-04-20,87.92926389451829
junho 2017,RECEITA DE SERVIÇOS,253.53765313708783,253.53765313708783,42.61031114906635,16.81,122.43154676877157,48.29,131.10610636831626,3,2017,2017-06-20,88.00029156985306
agosto 2017,RECEITA DE SERVIÇOS,252.44859736029665,252.44859736029665,42.89215141462207,16.99,164.79780082014116,65.28,87.65079654015547,4,2017,2017-08-20,88.37992222296648
outubro 2017,RECEITA DE SERVIÇOS,250.9860919501812,250.9860919501812,42.64366517167477,16.99,163.84308101660588,65.28,87.14301093357531,5,2017,2017-10-20,88.89491535821291
dezembro 2017,RECEITA DE SERVIÇOS,249.18208423679275,249.18208423679275,45.778462066495266,18.37,250.53972798149684,100.54,-1.3576437447041023,6,2017,2017-12-20,89.53848936746968
fevereiro 2018,RECEITA DE SERVIÇOS,262.6163860111524,262.6163860111524,42.543731353134795,16.2,42.543731353134795,16.2,220.07265465801757,1,2018,2018-02-20,90.08718518803816
